ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
893,8/7采购YAMI文创鬼灭之刃收藏卡第四弹,咸鱼,Diêt Qu? B?n ?ng TreYAMI文创鬼灭之刃收藏卡第四弹,9158000,9158000,0,2025-08-07
892,8/7采购向楠工作室《鬼灭之刃》高透亚克力水晶砖,咸鱼,Di?t Qu? Th? Th?y Tinh向楠工作室《鬼灭之刃》高透亚克力水晶砖,3230000,3230000,0,2025-08-07
891,8/7采购御卡族鬼灭之刃第一弹,咸鱼,Di?t Qu? Tím御卡族鬼灭之刃第一弹,6080000,6080000,0,2025-08-07
890,8/7采购无限文创 – 鬼灭之刃第二弹《炼狱》,咸鱼,Di?t Qu? Ver 2无限文创 – 鬼灭之刃第二弹《炼狱》,7030000,7030000,0,2025-08-07
889,8/7采购壹格动画海贼撕撕乐,咸鱼,One Piece Xé Xé壹格动画海贼撕撕乐,4826000,4826000,0,2025-08-07
888,8/7采购小樱魔法绘礼,咸鱼,Sakura L? h?i ma pháp小樱魔法绘礼,8025600,8025600,0,2025-08-07
887,8/7采购海贼王2元6弹,咸鱼,One Piece Cu?c chi?n ??nh cao海贼王2元6弹,23712000,23712000,0,2025-08-07
886,8/7采购【琦趣创想航海王】和之国篇,咸鱼,One Piece ?en【琦趣创想航海王】和之国篇,6840000,6840000,0,2025-08-07
885,8/7采购京都社周年怀旧版魔卡少女樱,小白传媒,Sakura Ver 2京都社周年怀旧版魔卡少女樱,5320000,5320000,0,2025-08-07
884,7/24采购柯南演绎包第1弹（5元包）,江西小精灵,Conan V7/canon28柯南演绎包第1弹（5元包）,37699040,37699040,0,2025-07-24
883,7/24采购蜡笔小新派对包第3弹,咸鱼,Shinchan3蜡笔小新派对包第3弹,10260000,10260000,0,2025-07-24
882,7/22采购米奇纪念版收藏卡“奇”遇记（20元包）,咸鱼,Mickey米奇纪念版收藏卡“奇”遇记（20元包）,13497600,13497600,0,2025-07-22
881,7/22采购开往宫崎骏的童话世界,咸鱼,Ghibli开往宫崎骏的童话世界,13680000,13680000,0,2025-07-22
880,7/22采购御卡族鬼灭之刃第一弹,咸鱼,Di?t Qu? Tím御卡族鬼灭之刃第一弹,6916000,6916000,0,2025-07-22
879,7/22采购卡游哪吒灵焰包2元包,江西小精灵,Natra卡游哪吒灵焰包2元包,22391424,22391424,0,2025-07-22
878,7/14采购【琦趣创想航海王】至臻典藏版,咸鱼,Onepiece B?c【琦趣创想航海王】至臻典藏版,11400000,11400000,0,2025-07-14
877,7/14采购【琦趣创想航海王】和之国篇,咸鱼,One Piece ?en【琦趣创想航海王】和之国篇,7600000,7600000,0,2025-07-14
876,7/11采购集卡社魔卡少女樱回忆收藏卡（10元包）,咸鱼,Sakura集卡社魔卡少女樱回忆收藏卡（10元包）,19756200,19756200,0,2025-07-11
875,7/11采购柯南演绎包第1弹（5元包）,江西小精灵,Conan V7/canon28柯南演绎包第1弹（5元包）,93297600,93297600,0,2025-07-11
874,7/5采购卡游哪吒灵焰包2元包,江西小精灵,Natra卡游哪吒灵焰包2元包,22391424,22391424,0,2025-07-05
873,7/5采购柯南演绎包第1弹（5元包）,江西小精灵,Conan V7/canon28柯南演绎包第1弹（5元包）,37319040,37319040,0,2025-07-05
872,7/5采购集卡社迪士尼100周年,杭州奥斯卡,Disney100集卡社迪士尼100周年,7296000,7296000,0,2025-07-05
871,7/5采购《小熊维尼》噗噗治愈陪伴季-踏春篇,杭州奥斯卡,Pooh《小熊维尼》噗噗治愈陪伴季-踏春篇,10640000,10640000,0,2025-07-05
